公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,上海,,,,,,,,,,
1月11日,省级,上海,,,,,,,,,,
1月12日,省级,上海,,,,,,,,,,
1月13日,省级,上海,,,,,,,,,,
1月14日,省级,上海,,,,,,,,,,
1月15日,省级,上海,,,,,,,,,,
1月16日,省级,上海,,,,,,,,,,
1月17日,省级,上海,,,,,,,,,,
1月18日,省级,上海,,,,,,,,,,
1月19日,省级,上海,,,,,,,,,,
1月20日,省级,上海,,2.0,,,,,,,,
1月21日,省级,上海,,7.0,,,,,,,,
1月22日,省级,上海,,7.0,,,,,,,,
1月23日,省级,上海,,4.0,,,,,,,,
1月24日,省级,上海,,13.0,1.0,,,,,,1.0,
1月25日,省级,上海,,7.0,,1.0,,,,,1.0,1.0
1月26日,省级,上海,,13.0,,,,,,,1.0,1.0
1月27日,省级,上海,,13.0,2.0,,,,,,3.0,1.0
1月28日,省级,上海,,14.0,1.0,,,,,,4.0,1.0
1月29日,省级,上海,,21.0,1.0,,,,,,5.0,1.0
1月30日,省级,上海,,27.0,,,,,,,5.0,1.0
1月31日,省级,上海,,25.0,4.0,,,,,,9.0,1.0
2月1日,省级,上海,,24.0,1.0,,,,,,10.0,1.0
2月2日,省级,上海,,16.0,,,,,,,10.0,1.0
2月3日,省级,上海,,15.0,,,,,,,10.0,1.0
2月4日,省级,上海,,25.0,2.0,,,,,,12.0,1.0
2月5日,省级,上海,,21.0,3.0,,,,,,15.0,1.0
2月6日,省级,上海,,15.0,10.0,,,,,,25.0,1.0
2月7日,省级,上海,,12.0,5.0,,,,,,30.0,1.0
2月8日,省级,上海,,11.0,11.0,,,,,,41.0,1.0
2月9日,省级,上海,,3.0,3.0,,,,,,44.0,1.0
2月10日,省级,上海,,7.0,4.0,,,,,,48.0,1.0
2月11日,省级,上海,,4.0,5.0,,,,,,53.0,1.0
2月12日,省级,上海,,7.0,4.0,,,,,,57.0,1.0
2月13日,省级,上海,,5.0,5.0,,,,,,,
2月14日,省级,上海,,8.0,28.0,,,,,,,
2月15日,省级,上海,,2.0,34.0,,,,,,,
2月16日,省级,上海,,3.0,16.0,,,,,331.0,140.0,1.0
2月17日,省级,上海,,2.0,21.0,,,,,333.0,161.0,1.0
2月18日,省级,上海,,,16.0,,,,,333.0,177.0,1.0
2月19日,省级,上海,,,9.0,1.0,,,,333.0,186.0,2.0
2月20日,省级,上海,,1.0,13.0,,,,,334.0,199.0,2.0
2月21日,省级,上海,,,12.0,1.0,,,,334.0,211.0,3.0
2月22日,省级,上海,,1.0,16.0,,,,,335.0,227.0,3.0
2月23日,省级,上海,,,22.0,,,,,335.0,249.0,3.0
2月24日,省级,上海,,,12.0,,,,,335.0,261.0,3.0
2月25日,省级,上海,,1.0,7.0,,,,,336.0,268.0,3.0
2月26日,省级,上海,,1.0,4.0,,,,,337.0,272.0,3.0
2月27日,省级,上海,,,4.0,,,,,337.0,276.0,3.0
2月28日,省级,上海,,,3.0,,,,,337.0,279.0,3.0
2月29日,省级,上海,,,8.0,,,,,337.0,287.0,3.0
3月1日,省级,上海,,,3.0,,,,,337.0,290.0,3.0
3月2日,省级,上海,,1.0,2.0,,,,,338.0,292.0,3.0
3月3日,省级,上海,,,2.0,,,,,338.0,294.0,3.0
3月4日,省级,上海,,,4.0,,,,,338.0,298.0,3.0
3月5日,省级,上海,,1.0,5.0,,,,,339.0,303.0,3.0
3月6日,省级,上海,,3.0,3.0,,,,,342.0,306.0,3.0
3月7日,省级,上海,,,7.0,,,,,342.0,313.0,3.0
