公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,云南,,,,,,,,,,
1月11日,省级,云南,,,,,,,,,,
1月12日,省级,云南,,,,,,,,,,
1月13日,省级,云南,,,,,,,,,,
1月14日,省级,云南,,,,,,,,,,
1月15日,省级,云南,,,,,,,,,,
1月16日,省级,云南,,,,,,,,,,
1月17日,省级,云南,,,,,,,,,,
1月18日,省级,云南,,,,,,,,,,
1月19日,省级,云南,,,,,,,,,,
1月20日,省级,云南,,,,,,,,,,
1月21日,省级,云南,,1.0,,,,,,,,
1月22日,省级,云南,,,,,,,,,,
1月23日,省级,云南,,1.0,,,,,,,,
1月24日,省级,云南,,3.0,,,,,,,,
1月25日,省级,云南,,6.0,,,,,,,,
1月26日,省级,云南,,8.0,,,,,,,,
1月27日,省级,云南,,25.0,,,,,,,,
1月28日,省级,云南,,7.0,,,,,,,,
1月29日,省级,云南,,19.0,,,,,,,,
1月30日,省级,云南,,10.0,,,,,,,,
1月31日,省级,云南,,11.0,1.0,,,,,,1.0,
2月1日,省级,云南,,8.0,1.0,,,,,,2.0,
2月2日,省级,云南,,10.0,1.0,,,,,,3.0,
2月3日,省级,云南,,8.0,2.0,,,,,,5.0,
2月4日,省级,云南,,5.0,,,,,,,5.0,
2月5日,省级,云南,,6.0,,,,,,,5.0,
2月6日,省级,云南,,7.0,2.0,,,,,,7.0,
2月7日,省级,云南,,3.0,5.0,,,,,,12.0,
2月8日,省级,云南,,2.0,5.0,,,,,,17.0,
2月9日,省级,云南,,1.0,1.0,,,,,,18.0,
2月10日,省级,云南,,8.0,1.0,,,,,,19.0,
2月11日,省级,云南,,5.0,1.0,,,,,,20.0,
2月12日,省级,云南,,1.0,3.0,,,,,,23.0,
2月13日,省级,云南,,7.0,4.0,,,,,,,
2月14日,省级,云南,,6.0,8.0,,,,,,,
2月15日,省级,云南,,1.0,7.0,,,,,,,
2月16日,省级,云南,,2.0,,,,,,171.0,42.0,
2月17日,省级,云南,,1.0,5.0,,,,,172.0,47.0,
2月18日,省级,云南,,1.0,10.0,,,,,173.0,57.0,
2月19日,省级,云南,,,3.0,1.0,-1.0,,,172.0,60.0,1.0
2月20日,省级,云南,,2.0,19.0,1.0,,,,174.0,79.0,2.0
2月21日,省级,云南,,,17.0,,,,,174.0,96.0,2.0
2月22日,省级,云南,,,11.0,,,,,174.0,107.0,2.0
2月23日,省级,云南,,,8.0,,,,,174.0,115.0,2.0
2月24日,省级,云南,,,9.0,,,,,174.0,124.0,2.0
2月25日,省级,云南,,,5.0,,,,,174.0,129.0,2.0
2月26日,省级,云南,,,15.0,,,,,174.0,144.0,2.0
2月27日,省级,云南,,,6.0,,,,,174.0,150.0,2.0
2月28日,省级,云南,,,6.0,,,,,174.0,156.0,2.0
2月29日,省级,云南,,,1.0,,,,,174.0,157.0,2.0
3月1日,省级,云南,,,6.0,,,,,174.0,163.0,2.0
3月2日,省级,云南,,,5.0,,,,,174.0,168.0,2.0
3月3日,省级,云南,,,1.0,,,,,174.0,169.0,2.0
3月4日,省级,云南,,,,,,,,174.0,169.0,2.0
3月5日,省级,云南,,,,,,,,174.0,169.0,2.0
3月6日,省级,云南,,,1.0,,,,,174.0,170.0,2.0
3月7日,省级,云南,,,,,,,,174.0,170.0,2.0
