公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,北京,,,,,,,,,,
1月11日,省级,北京,,,,,,,,,,
1月12日,省级,北京,,,,,,,,,,
1月13日,省级,北京,,,,,,,,,,
1月14日,省级,北京,,,,,,,,,,
1月15日,省级,北京,,,,,,,,,,
1月16日,省级,北京,,,,,,,,,,
1月17日,省级,北京,,,,,,,,,,
1月18日,省级,北京,,,,,,,,,,
1月19日,省级,北京,,2.0,,,,,,,,
1月20日,省级,北京,,3.0,,,,,,,,
1月21日,省级,北京,,5.0,,,,,,,,
1月22日,省级,北京,,4.0,,,,,,,,
1月23日,省级,北京,,12.0,,,,,,,,
1月24日,省级,北京,,15.0,1.0,,,,,,1.0,
1月25日,省级,北京,,13.0,1.0,,,,,,2.0,
1月26日,省级,北京,,18.0,,,,,,,2.0,
1月27日,省级,北京,,19.0,,1.0,,,,,2.0,1.0
1月28日,省级,北京,,11.0,2.0,,,,,,4.0,1.0
1月29日,省级,北京,,12.0,,,,,,,4.0,1.0
1月30日,省级,北京,,18.0,1.0,,,,,,5.0,1.0
1月31日,省级,北京,,24.0,,,,,,,5.0,1.0
2月1日,省级,北京,,27.0,4.0,,,,,,9.0,1.0
2月2日,省级,北京,,35.0,3.0,,-6.0,,,,12.0,1.0
2月3日,省级,北京,,16.0,11.0,,,,,,23.0,1.0
2月4日,省级,北京,,25.0,1.0,,,,,,24.0,1.0
2月5日,省级,北京,,21.0,7.0,,,,,,31.0,1.0
2月6日,省级,北京,,23.0,2.0,,,,,,33.0,1.0
2月7日,省级,北京,,18.0,1.0,1.0,,,,,34.0,2.0
2月8日,省级,北京,,11.0,3.0,,,,,,37.0,2.0
2月9日,省级,北京,,11.0,7.0,,,,,,44.0,2.0
2月10日,省级,北京,,5.0,4.0,1.0,,,,,48.0,3.0
2月11日,省级,北京,,10.0,8.0,,,,,,56.0,3.0
2月12日,省级,北京,,14.0,12.0,,,,,,68.0,3.0
2月13日,省级,北京,,6.0,11.0,,,,,,,
2月14日,省级,北京,,3.0,18.0,1.0,,,,,,
2月15日,省级,北京,,5.0,8.0,,,,,,,
2月16日,省级,北京,,1.0,9.0,,,,,381.0,114.0,4.0
2月17日,省级,北京,,6.0,8.0,,,,,387.0,122.0,4.0
2月18日,省级,北京,,6.0,23.0,,,,,393.0,145.0,4.0
2月19日,省级,北京,,2.0,8.0,,,,,395.0,153.0,4.0
2月20日,省级,北京,,1.0,16.0,,,,,396.0,169.0,4.0
2月21日,省级,北京,,3.0,9.0,,,,,399.0,178.0,4.0
2月22日,省级,北京,,,11.0,,,,,399.0,189.0,4.0
2月23日,省级,北京,,,9.0,,,,,399.0,198.0,4.0
2月24日,省级,北京,,1.0,17.0,,,,,400.0,215.0,4.0
2月25日,省级,北京,,,20.0,,,,,400.0,235.0,4.0
2月26日,省级,北京,,10.0,13.0,1.0,,,,410.0,248.0,5.0
2月27日,省级,北京,,,9.0,2.0,,,,410.0,257.0,7.0
2月28日,省级,北京,,1.0,14.0,1.0,,,,411.0,271.0,8.0
2月29日,省级,北京,,2.0,5.0,,,,,413.0,276.0,8.0
3月1日,省级,北京,,1.0,6.0,,,,,414.0,282.0,8.0
3月2日,省级,北京,,,6.0,,,,,414.0,288.0,8.0
3月3日,省级,北京,,3.0,6.0,,,,,417.0,294.0,8.0
3月4日,省级,北京,,1.0,3.0,,,,,418.0,297.0,8.0
3月5日,省级,北京,,4.0,1.0,,,,,422.0,298.0,8.0
3月6日,省级,北京,,4.0,5.0,,,,,426.0,303.0,8.0
3月7日,省级,北京,,2.0,5.0,,,,,428.0,308.0,8.0
