公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,吉林,,,,,,,,,,
1月11日,省级,吉林,,,,,,,,,,
1月12日,省级,吉林,,,,,,,,,,
1月13日,省级,吉林,,,,,,,,,,
1月14日,省级,吉林,,,,,,,,,,
1月15日,省级,吉林,,,,,,,,,,
1月16日,省级,吉林,,,,,,,,,,
1月17日,省级,吉林,,,,,,,,,,
1月18日,省级,吉林,,,,,,,,,,
1月19日,省级,吉林,,,,,,,,,,
1月20日,省级,吉林,,,,,,,,,,
1月21日,省级,吉林,,,,,,,,,,
1月22日,省级,吉林,,1.0,,,,,,,,
1月23日,省级,吉林,,2.0,,,,,,,,
1月24日,省级,吉林,,1.0,,,,,,,,
1月25日,省级,吉林,,,,,,,,,,
1月26日,省级,吉林,,2.0,,,,,,,,
1月27日,省级,吉林,,2.0,,,,,,,,
1月28日,省级,吉林,,1.0,,,,,,,,
1月29日,省级,吉林,,5.0,,,,,,,,
1月30日,省级,吉林,,,1.0,,,,,,1.0,
1月31日,省级,吉林,,3.0,,,,,,,1.0,
2月1日,省级,吉林,,6.0,,,,,,,1.0,
2月2日,省级,吉林,,8.0,,,,,,,1.0,
2月3日,省级,吉林,,11.0,,,,,,,1.0,
2月4日,省级,吉林,,12.0,,,,,,,1.0,
2月5日,省级,吉林,,5.0,1.0,,,,,,2.0,
2月6日,省级,吉林,,6.0,2.0,1.0,,,,,4.0,1.0
2月7日,省级,吉林,,4.0,,,,,,,4.0,1.0
2月8日,省级,吉林,,9.0,1.0,,,,,,5.0,1.0
2月9日,省级,吉林,,2.0,7.0,,,,,,12.0,1.0
2月10日,省级,吉林,,1.0,1.0,,,,,,13.0,1.0
2月11日,省级,吉林,,2.0,5.0,,,,,,18.0,1.0
2月12日,省级,吉林,,1.0,4.0,,,,,,22.0,1.0
2月13日,省级,吉林,,2.0,3.0,,,,,,,
2月14日,省级,吉林,,2.0,,,,,,,,
2月15日,省级,吉林,,1.0,3.0,,,,,,,
2月16日,省级,吉林,,,2.0,,,,,89.0,30.0,1.0
2月17日,省级,吉林,,,4.0,,,,,89.0,34.0,1.0
2月18日,省级,吉林,,1.0,2.0,,,,,90.0,36.0,1.0
2月19日,省级,吉林,,1.0,4.0,,,,,91.0,40.0,1.0
2月20日,省级,吉林,,,4.0,,,,,91.0,44.0,1.0
2月21日,省级,吉林,,,2.0,,,,,91.0,46.0,1.0
2月22日,省级,吉林,,,6.0,,,,,91.0,52.0,1.0
2月23日,省级,吉林,,2.0,2.0,,,,,93.0,54.0,1.0
2月24日,省级,吉林,,,6.0,,,,,93.0,60.0,1.0
2月25日,省级,吉林,,,3.0,,,,,93.0,63.0,1.0
2月26日,省级,吉林,,,2.0,,,,,93.0,65.0,1.0
2月27日,省级,吉林,,,3.0,,,,,93.0,68.0,1.0
2月28日,省级,吉林,,,5.0,,,,,93.0,73.0,1.0
2月29日,省级,吉林,,,2.0,,,,,93.0,75.0,1.0
3月1日,省级,吉林,,,3.0,,,,,93.0,78.0,1.0
3月2日,省级,吉林,,,5.0,,,,,93.0,83.0,1.0
3月3日,省级,吉林,,,1.0,,,,,93.0,84.0,1.0
3月4日,省级,吉林,,,2.0,,,,,93.0,86.0,1.0
3月5日,省级,吉林,,,2.0,,,,,93.0,88.0,1.0
3月6日,省级,吉林,,,2.0,,,,,93.0,90.0,1.0
3月7日,省级,吉林,,,,,,,,93.0,90.0,1.0
