公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,四川,,,,,,,,,,
1月11日,省级,四川,,,,,,,,,,
1月12日,省级,四川,,,,,,,,,,
1月13日,省级,四川,,,,,,,,,,
1月14日,省级,四川,,,,,,,,,,
1月15日,省级,四川,,,,,,,,,,
1月16日,省级,四川,,,,,,,,,,
1月17日,省级,四川,,,,,,,,,,
1月18日,省级,四川,,,,,,,,,,
1月19日,省级,四川,,,,,,,,,,
1月20日,省级,四川,,,,,,,,,,
1月21日,省级,四川,,2.0,,,,,,,,
1月22日,省级,四川,,6.0,,,,,,,,
1月23日,省级,四川,,7.0,,,,,,,,
1月24日,省级,四川,,13.0,,,,,,,,
1月25日,省级,四川,,16.0,,,,,,,,
1月26日,省级,四川,,25.0,,,,,,,,
1月27日,省级,四川,,21.0,,,,,,,,
1月28日,省级,四川,,18.0,,,,,,,,
1月29日,省级,四川,,34.0,1.0,1.0,,,,,1.0,1.0
1月30日,省级,四川,,36.0,,,-1.0,,,,1.0,1.0
1月31日,省级,四川,,30.0,2.0,,,,,,3.0,1.0
2月1日,省级,四川,,24.0,,,,,,,3.0,1.0
2月2日,省级,四川,,23.0,9.0,,,,,,12.0,1.0
2月3日,省级,四川,,28.0,2.0,,,,,,14.0,1.0
2月4日,省级,四川,,19.0,9.0,,,,,,23.0,1.0
2月5日,省级,四川,,20.0,4.0,,,,,,27.0,1.0
2月6日,省级,四川,,23.0,10.0,,,,,,37.0,1.0
2月7日,省级,四川,,19.0,13.0,,,,,,50.0,1.0
2月8日,省级,四川,,23.0,10.0,,,,,,60.0,1.0
2月9日,省级,四川,,19.0,16.0,,,,,,76.0,1.0
2月10日,省级,四川,,12.0,6.0,,,,,,82.0,1.0
2月11日,省级,四川,,19.0,3.0,,,,,,85.0,1.0
2月12日,省级,四川,,15.0,8.0,,,,,,93.0,1.0
2月13日,省级,四川,,12.0,12.0,,,,,,,
2月14日,省级,四川,,7.0,10.0,,,,,,,
2月15日,省级,四川,,11.0,12.0,2.0,,,,,,3.0
2月16日,省级,四川,,14.0,9.0,,,,,495.0,136.0,3.0
2月17日,省级,四川,,13.0,27.0,,,,,508.0,163.0,3.0
2月18日,省级,四川,,6.0,14.0,,,,,514.0,177.0,3.0
2月19日,省级,四川,,6.0,21.0,,,,,520.0,198.0,3.0
2月20日,省级,四川,,5.0,24.0,,,,,525.0,222.0,3.0
2月21日,省级,四川,,1.0,20.0,,,,,526.0,242.0,3.0
2月22日,省级,四川,,,14.0,,,,,526.0,256.0,3.0
2月23日,省级,四川,,1.0,7.0,,,,,527.0,263.0,3.0
2月24日,省级,四川,,2.0,15.0,,,,,529.0,278.0,3.0
2月25日,省级,四川,,2.0,14.0,,,,,531.0,292.0,3.0
2月26日,省级,四川,,3.0,18.0,,,,,534.0,310.0,3.0
2月27日,省级,四川,,4.0,16.0,,,,,538.0,326.0,3.0
2月28日,省级,四川,,,24.0,,,,,538.0,350.0,3.0
2月29日,省级,四川,,,13.0,,,,,538.0,363.0,3.0
3月1日,省级,四川,,,15.0,,,,,538.0,378.0,3.0
3月2日,省级,四川,,,11.0,,,,,538.0,389.0,3.0
3月3日,省级,四川,,,11.0,,,,,538.0,400.0,3.0
3月4日,省级,四川,,1.0,18.0,,,,,539.0,418.0,3.0
3月5日,省级,四川,,,10.0,,,,,539.0,428.0,3.0
3月6日,省级,四川,,,20.0,,,,,539.0,448.0,3.0
3月7日,省级,四川,,,9.0,,,,,539.0,457.0,3.0
