公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,宁夏,,,,,,,,,,
1月11日,省级,宁夏,,,,,,,,,,
1月12日,省级,宁夏,,,,,,,,,,
1月13日,省级,宁夏,,,,,,,,,,
1月14日,省级,宁夏,,,,,,,,,,
1月15日,省级,宁夏,,,,,,,,,,
1月16日,省级,宁夏,,,,,,,,,,
1月17日,省级,宁夏,,,,,,,,,,
1月18日,省级,宁夏,,,,,,,,,,
1月19日,省级,宁夏,,,,,,,,,,
1月20日,省级,宁夏,,,,,,,,,,
1月21日,省级,宁夏,,1.0,,,,,,,,
1月22日,省级,宁夏,,,,,,,,,,
1月23日,省级,宁夏,,1.0,,,,,,,,
1月24日,省级,宁夏,,1.0,,,,,,,,
1月25日,省级,宁夏,,1.0,,,,,,,,
1月26日,省级,宁夏,,3.0,,,,,,,,
1月27日,省级,宁夏,,4.0,,,,,,,,
1月28日,省级,宁夏,,1.0,,,,,,,,
1月29日,省级,宁夏,,5.0,,,,,,,,
1月30日,省级,宁夏,,4.0,,,,,,,,
1月31日,省级,宁夏,,5.0,,,,,,,,
2月1日,省级,宁夏,,2.0,,,,,,,,
2月2日,省级,宁夏,,3.0,,,,,,,,
2月3日,省级,宁夏,,3.0,1.0,,,,,,1.0,
2月4日,省级,宁夏,,,,,,,,,1.0,
2月5日,省级,宁夏,,6.0,,,,,,,1.0,
2月6日,省级,宁夏,,3.0,,,,,,,1.0,
2月7日,省级,宁夏,,2.0,2.0,,,,,,3.0,
2月8日,省级,宁夏,,1.0,10.0,,-1.0,,,,13.0,
2月9日,省级,宁夏,,4.0,,,,,,,13.0,
2月10日,省级,宁夏,,4.0,1.0,,,,,,14.0,
2月11日,省级,宁夏,,5.0,8.0,,,,,,22.0,
2月12日,省级,宁夏,,6.0,2.0,,,,,,24.0,
2月13日,省级,宁夏,,3.0,,,,,,,,
2月14日,省级,宁夏,,3.0,3.0,,,,,,,
2月15日,省级,宁夏,,,6.0,,,,,,,
2月16日,省级,宁夏,,,,,,,,70.0,33.0,
2月17日,省级,宁夏,,,2.0,,,,,70.0,35.0,
2月18日,省级,宁夏,,1.0,7.0,,,,,71.0,42.0,
2月19日,省级,宁夏,,,,,,,,71.0,42.0,
2月20日,省级,宁夏,,,2.0,,,,,71.0,44.0,
2月21日,省级,宁夏,,,4.0,,,,,71.0,48.0,
2月22日,省级,宁夏,,,,,,,,71.0,48.0,
2月23日,省级,宁夏,,,9.0,,,,,71.0,57.0,
2月24日,省级,宁夏,,,1.0,,,,,71.0,58.0,
2月25日,省级,宁夏,,,3.0,,,,,71.0,61.0,
2月26日,省级,宁夏,,1.0,4.0,,,,,72.0,65.0,
2月27日,省级,宁夏,,,3.0,,,,,72.0,68.0,
2月28日,省级,宁夏,,1.0,,,,,,73.0,68.0,
2月29日,省级,宁夏,,,1.0,,,,,73.0,69.0,
3月1日,省级,宁夏,,1.0,,,,,,74.0,69.0,
3月2日,省级,宁夏,,,,,,,,74.0,69.0,
3月3日,省级,宁夏,,1.0,,,,,,75.0,69.0,
3月4日,省级,宁夏,,,,,,,,75.0,69.0,
3月5日,省级,宁夏,,,,,,,,75.0,69.0,
3月6日,省级,宁夏,,,2.0,,,,,75.0,71.0,
3月7日,省级,宁夏,,,,,,,,75.0,71.0,
