公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,山东,,,,,,,,,,
1月11日,省级,山东,,,,,,,,,,
1月12日,省级,山东,,,,,,,,,,
1月13日,省级,山东,,,,,,,,,,
1月14日,省级,山东,,,,,,,,,,
1月15日,省级,山东,,,,,,,,,,
1月16日,省级,山东,,,,,,,,,,
1月17日,省级,山东,,,,,,,,,,
1月18日,省级,山东,,,,,,,,,,
1月19日,省级,山东,,,,,,,,,,
1月20日,省级,山东,,,,,,,,,,
1月21日,省级,山东,,2.0,,,,,,,,
1月22日,省级,山东,,4.0,,,,,,,,
1月23日,省级,山东,,3.0,,,,,,,,
1月24日,省级,山东,,12.0,,,,,,,,
1月25日,省级,山东,,18.0,,,,,,,,
1月26日,省级,山东,,24.0,,,,,,,,
1月27日,省级,山东,,24.0,,,,,,,,
1月28日,省级,山东,,34.0,,,,,,,,
1月29日,省级,山东,,24.0,1.0,,,,,,1.0,
1月30日,省级,山东,,33.0,1.0,,,,,,2.0,
1月31日,省级,山东,,24.0,,,,,,,2.0,
2月1日,省级,山东,,23.0,3.0,,,,,,5.0,
2月2日,省级,山东,,21.0,1.0,,,,,,6.0,
2月3日,省级,山东,,24.0,1.0,,,,,,7.0,
2月4日,省级,山东,,28.0,6.0,,,,,,13.0,
2月5日,省级,山东,,45.0,5.0,,,,,,18.0,
2月6日,省级,山东,,36.0,13.0,,,,,,31.0,
2月7日,省级,山东,,28.0,7.0,,,,,,38.0,
2月8日,省级,山东,,28.0,12.0,,,,,,50.0,
2月9日,省级,山东,,24.0,13.0,1.0,,,,,63.0,1.0
2月10日,省级,山东,,27.0,8.0,,,,,,71.0,1.0
2月11日,省级,山东,,11.0,9.0,,,,,,80.0,1.0
2月12日,省级,山东,,9.0,18.0,1.0,,,,,98.0,2.0
2月13日,省级,山东,,13.0,13.0,,,,,,,
2月14日,省级,山东,,11.0,28.0,,,,,,,
2月15日,省级,山东,,7.0,25.0,,,,,,,
2月16日,省级,山东,,4.0,11.0,,,,,541.0,175.0,2.0
2月17日,省级,山东,,2.0,18.0,,,,,543.0,193.0,2.0
2月18日,省级,山东,,1.0,22.0,1.0,,,,544.0,215.0,3.0
2月19日,省级,山东,,2.0,23.0,1.0,,,,546.0,238.0,4.0
2月20日,省级,山东,,202.0,32.0,,,,,748.0,270.0,4.0
2月21日,省级,山东,,2.0,23.0,,,,,750.0,293.0,4.0
2月22日,省级,山东,,4.0,18.0,,,,,754.0,311.0,4.0
2月23日,省级,山东,,1.0,14.0,,,,,755.0,325.0,4.0
2月24日,省级,山东,,,18.0,2.0,,,,755.0,343.0,6.0
2月25日,省级,山东,,1.0,14.0,,,,,756.0,357.0,6.0
2月26日,省级,山东,,,24.0,,,,,756.0,381.0,6.0
2月27日,省级,山东,,,9.0,,,,,756.0,390.0,6.0
2月28日,省级,山东,,,21.0,,,,,756.0,411.0,6.0
2月29日,省级,山东,,,20.0,,,,,756.0,431.0,6.0
3月1日,省级,山东,,2.0,24.0,,,,,758.0,455.0,6.0
3月2日,省级,山东,,,42.0,,,,,758.0,497.0,6.0
3月3日,省级,山东,,,14.0,,,,,758.0,511.0,6.0
3月4日,省级,山东,,,65.0,,,,,758.0,576.0,6.0
3月5日,省级,山东,,,26.0,,,,,758.0,602.0,6.0
3月6日,省级,山东,,,23.0,,,,,758.0,625.0,6.0
3月7日,省级,山东,,,12.0,,,,,758.0,637.0,6.0
