公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,山西,,,,,,,,,,
1月11日,省级,山西,,,,,,,,,,
1月12日,省级,山西,,,,,,,,,,
1月13日,省级,山西,,,,,,,,,,
1月14日,省级,山西,,,,,,,,,,
1月15日,省级,山西,,,,,,,,,,
1月16日,省级,山西,,,,,,,,,,
1月17日,省级,山西,,,,,,,,,,
1月18日,省级,山西,,,,,,,,,,
1月19日,省级,山西,,,,,,,,,,
1月20日,省级,山西,,,,,,,,,,
1月21日,省级,山西,,,,,,,,,,
1月22日,省级,山西,,1.0,,,,,,,,
1月23日,省级,山西,,,,,,,,,,
1月24日,省级,山西,,5.0,,,,,,,,
1月25日,省级,山西,,3.0,,,,,,,,
1月26日,省级,山西,,4.0,,,,,,,,
1月27日,省级,山西,,7.0,,,,,,,,
1月28日,省级,山西,,7.0,,,,,,,,
1月29日,省级,山西,,8.0,1.0,,,,,,1.0,
1月30日,省级,山西,,4.0,,,,,,,1.0,
1月31日,省级,山西,,8.0,,,,,,,1.0,
2月1日,省级,山西,,9.0,,,,,,,1.0,
2月2日,省级,山西,,10.0,1.0,,,,,,2.0,
2月3日,省级,山西,,8.0,,,,,,,2.0,
2月4日,省级,山西,,7.0,2.0,,,,,,4.0,
2月5日,省级,山西,,9.0,2.0,,,,,,6.0,
2月6日,省级,山西,,6.0,6.0,,,,,,12.0,
2月7日,省级,山西,,8.0,3.0,,,,,,15.0,
2月8日,省级,山西,,12.0,6.0,,-1.0,,,,21.0,
2月9日,省级,山西,,4.0,4.0,,,,,,25.0,
2月10日,省级,山西,,3.0,1.0,,,,,,26.0,
2月11日,省级,山西,,2.0,4.0,,,,,,30.0,
2月12日,省级,山西,,2.0,3.0,,,,,,33.0,
2月13日,省级,山西,,,3.0,,,,,,,
2月14日,省级,山西,,1.0,2.0,,,,,,,
2月15日,省级,山西,,1.0,8.0,,,,,,,
2月16日,省级,山西,,1.0,4.0,,,,,129.0,50.0,
2月17日,省级,山西,,1.0,3.0,,,,,130.0,53.0,
2月18日,省级,山西,,1.0,8.0,,,,,131.0,61.0,
2月19日,省级,山西,,,7.0,,,,,131.0,68.0,
2月20日,省级,山西,,1.0,8.0,,,,,132.0,76.0,
2月21日,省级,山西,,,2.0,,,,,132.0,78.0,
2月22日,省级,山西,,,3.0,,,,,132.0,81.0,
2月23日,省级,山西,,,7.0,,,,,132.0,88.0,
2月24日,省级,山西,,1.0,6.0,,,,,133.0,94.0,
2月25日,省级,山西,,,4.0,,,,,133.0,98.0,
2月26日,省级,山西,,,6.0,,,,,133.0,104.0,
2月27日,省级,山西,,,3.0,,,,,133.0,107.0,
2月28日,省级,山西,,,5.0,,,,,133.0,112.0,
2月29日,省级,山西,,,2.0,,,,,133.0,114.0,
3月1日,省级,山西,,,2.0,,,,,133.0,116.0,
3月2日,省级,山西,,,3.0,,,,,133.0,119.0,
3月3日,省级,山西,,,5.0,,,,,133.0,124.0,
3月4日,省级,山西,,,,,,,,133.0,124.0,
3月5日,省级,山西,,,2.0,,,,,133.0,126.0,
3月6日,省级,山西,,,,,,,,133.0,126.0,
3月7日,省级,山西,,,,,,,,133.0,126.0,
