公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,广东,,,,,,,,,,
1月11日,省级,广东,,,,,,,,,,
1月12日,省级,广东,,,,,,,,,,
1月13日,省级,广东,,,,,,,,,,
1月14日,省级,广东,,,,,,,,,,
1月15日,省级,广东,,,,,,,,,,
1月16日,省级,广东,,,,,,,,,,
1月17日,省级,广东,,,,,,,,,,
1月18日,省级,广东,,,,,,,,,,
1月19日,省级,广东,,1.0,,,,,,,,
1月20日,省级,广东,,13.0,,,,,,,,
1月21日,省级,广东,,12.0,,,,,,,,
1月22日,省级,广东,,6.0,,,,,,,,
1月23日,省级,广东,,21.0,2.0,,,,,,2.0,
1月24日,省级,广东,,25.0,,,,,,,,
1月25日,省级,广东,,20.0,,,,,,,,
1月26日,省级,广东,,48.0,,,,,,,,
1月27日,省级,广东,,42.0,2.0,,,,,,4.0,
1月28日,省级,广东,,53.0,1.0,,,,,,5.0,
1月29日,省级,广东,,70.0,1.0,,,,,,6.0,
1月30日,省级,广东,,82.0,3.0,,,,,,9.0,
1月31日,省级,广东,,127.0,1.0,,,,,,10.0,
2月1日,省级,广东,,84.0,2.0,,,,,,12.0,
2月2日,省级,广东,,79.0,2.0,,,,,,14.0,
2月3日,省级,广东,,114.0,6.0,,,,,,20.0,
2月4日,省级,广东,,73.0,12.0,,,,,,32.0,
2月5日,省级,广东,,74.0,17.0,,,,,,49.0,
2月6日,省级,广东,,74.0,19.0,1.0,,,,,68.0,1.0
2月7日,省级,广东,,57.0,29.0,,,,,,97.0,1.0
2月8日,省级,广东,,45.0,28.0,,,,,,125.0,1.0
2月9日,省级,广东,,31.0,18.0,,,,,,143.0,1.0
2月10日,省级,广东,,26.0,38.0,,,,,,181.0,1.0
2月11日,省级,广东,,42.0,60.0,,,,,,241.0,1.0
2月12日,省级,广东,,22.0,43.0,1.0,,,,,284.0,2.0
2月13日,省级,广东,,20.0,48.0,,,,,,,
2月14日,省级,广东,,33.0,54.0,,,,,,,
2月15日,省级,广东,,22.0,50.0,,,,,,,
2月16日,省级,广东,,6.0,37.0,2.0,,,,1322.0,473.0,4.0
2月17日,省级,广东,,6.0,57.0,,,,,1328.0,530.0,4.0
2月18日,省级,广东,,3.0,41.0,1.0,,,,1331.0,571.0,5.0
2月19日,省级,广东,,1.0,48.0,,,,,1332.0,619.0,5.0
2月20日,省级,广东,,1.0,45.0,,,,,1333.0,664.0,5.0
2月21日,省级,广东,,6.0,56.0,,,,,1339.0,720.0,5.0
2月22日,省级,广东,,3.0,20.0,1.0,,,,1342.0,740.0,6.0
2月23日,省级,广东,,3.0,32.0,,,,,1345.0,772.0,6.0
2月24日,省级,广东,,2.0,33.0,1.0,,,,1347.0,805.0,7.0
2月25日,省级,广东,,,36.0,,,,,1347.0,841.0,7.0
2月26日,省级,广东,,,32.0,,,,,1347.0,873.0,7.0
2月27日,省级,广东,,1.0,46.0,,,,,1348.0,919.0,7.0
2月28日,省级,广东,,1.0,53.0,,,,,1349.0,972.0,7.0
2月29日,省级,广东,,,37.0,,,,,1349.0,1009.0,7.0
3月1日,省级,广东,,1.0,25.0,,,,,1350.0,1034.0,7.0
3月2日,省级,广东,,,47.0,,,,,1350.0,1081.0,7.0
3月3日,省级,广东,,,48.0,,,,,1350.0,1129.0,7.0
3月4日,省级,广东,,,30.0,,,,,1350.0,1159.0,7.0
3月5日,省级,广东,,1.0,50.0,,,,,1351.0,1209.0,7.0
3月6日,省级,广东,,1.0,24.0,,,,,1352.0,1233.0,7.0
3月7日,省级,广东,,,17.0,,,,,1352.0,1250.0,7.0
