公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,广西,,,,,,,,,,
1月11日,省级,广西,,,,,,,,,,
1月12日,省级,广西,,,,,,,,,,
1月13日,省级,广西,,,,,,,,,,
1月14日,省级,广西,,,,,,,,,,
1月15日,省级,广西,,,,,,,,,,
1月16日,省级,广西,,,,,,,,,,
1月17日,省级,广西,,,,,,,,,,
1月18日,省级,广西,,,,,,,,,,
1月19日,省级,广西,,,,,,,,,,
1月20日,省级,广西,,,,,,,,,,
1月21日,省级,广西,,,,,,,,,,
1月22日,省级,广西,,5.0,,,,,,,,
1月23日,省级,广西,,8.0,,,,,,,,
1月24日,省级,广西,,10.0,,,,,,,,
1月25日,省级,广西,,10.0,,,,,,,,
1月26日,省级,广西,,13.0,,,,,,,,
1月27日,省级,广西,,5.0,,,,,,,,
1月28日,省级,广西,,7.0,2.0,,,,,,2.0,
1月29日,省级,广西,,20.0,,,,,,,2.0,
1月30日,省级,广西,,9.0,,,,,,,2.0,
1月31日,省级,广西,,13.0,,,,,,,2.0,
2月1日,省级,广西,,11.0,,,,,,,2.0,
2月2日,省级,广西,,16.0,,,,,,,2.0,
2月3日,省级,广西,,12.0,5.0,,,,,,7.0,
2月4日,省级,广西,,11.0,3.0,,,,,,10.0,
2月5日,省级,广西,,18.0,4.0,,,,,,14.0,
2月6日,省级,广西,,4.0,3.0,,,,,,17.0,
2月7日,省级,广西,,11.0,,,,,,,17.0,
2月8日,省级,广西,,12.0,1.0,1.0,,,,,18.0,1.0
2月9日,省级,广西,,15.0,,,,,,,18.0,1.0
2月10日,省级,广西,,5.0,12.0,,,,,,30.0,1.0
2月11日,省级,广西,,7.0,1.0,,,,,,31.0,1.0
2月12日,省级,广西,,,2.0,1.0,,,,,33.0,2.0
2月13日,省级,广西,,4.0,2.0,,,,,,,
2月14日,省级,广西,,9.0,5.0,,,,,,,
2月15日,省级,广西,,2.0,6.0,,,,,,,
2月16日,省级,广西,,1.0,5.0,,,,,238.0,51.0,2.0
2月17日,省级,广西,,4.0,7.0,,,,,242.0,58.0,2.0
2月18日,省级,广西,,2.0,18.0,,,,,244.0,76.0,2.0
2月19日,省级,广西,,1.0,11.0,,,,,245.0,87.0,2.0
2月20日,省级,广西,,1.0,8.0,,,,,246.0,95.0,2.0
2月21日,省级,广西,,3.0,4.0,,,,,249.0,99.0,2.0
2月22日,省级,广西,,,5.0,,,,,249.0,104.0,2.0
2月23日,省级,广西,,2.0,3.0,,,,,251.0,107.0,2.0
2月24日,省级,广西,,1.0,22.0,,,,,252.0,129.0,2.0
2月25日,省级,广西,,,9.0,,,,,252.0,138.0,2.0
2月26日,省级,广西,,,21.0,,,,,252.0,159.0,2.0
2月27日,省级,广西,,,7.0,,,,,252.0,166.0,2.0
2月28日,省级,广西,,,6.0,,,,,252.0,172.0,2.0
2月29日,省级,广西,,,7.0,,,,,252.0,179.0,2.0
3月1日,省级,广西,,,9.0,,,,,252.0,188.0,2.0
3月2日,省级,广西,,,14.0,,,,,252.0,202.0,2.0
3月3日,省级,广西,,,8.0,,,,,252.0,210.0,2.0
3月4日,省级,广西,,,3.0,,,,,252.0,213.0,2.0
3月5日,省级,广西,,,4.0,,,,,252.0,217.0,2.0
3月6日,省级,广西,,,2.0,,,,,252.0,219.0,2.0
3月7日,省级,广西,,,4.0,,,,,252.0,223.0,2.0
