公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,江苏,,,,,,,,,,
1月11日,省级,江苏,,,,,,,,,,
1月12日,省级,江苏,,,,,,,,,,
1月13日,省级,江苏,,,,,,,,,,
1月14日,省级,江苏,,,,,,,,,,
1月15日,省级,江苏,,,,,,,,,,
1月16日,省级,江苏,,,,,,,,,,
1月17日,省级,江苏,,,,,,,,,,
1月18日,省级,江苏,,,,,,,,,,
1月19日,省级,江苏,,,,,,,,,,
1月20日,省级,江苏,,,,,,,,,,
1月21日,省级,江苏,,,,,,,,,,
1月22日,省级,江苏,,1.0,,,,,,,,
1月23日,省级,江苏,,8.0,,,,,,,,
1月24日,省级,江苏,,9.0,1.0,,,,,,1.0,
1月25日,省级,江苏,,13.0,,,,,,,1.0,
1月26日,省级,江苏,,16.0,,,,,,,1.0,
1月27日,省级,江苏,,23.0,,,,,,,1.0,
1月28日,省级,江苏,,29.0,,,,,,,1.0,
1月29日,省级,江苏,,30.0,,,,,,,1.0,
1月30日,省级,江苏,,39.0,1.0,,,,,,2.0,
1月31日,省级,江苏,,34.0,3.0,,,,,,5.0,
2月1日,省级,江苏,,34.0,1.0,,,,,,6.0,
2月2日,省级,江苏,,35.0,1.0,,,,,,7.0,
2月3日,省级,江苏,,37.0,1.0,,,,,,8.0,
2月4日,省级,江苏,,33.0,5.0,,,,,,13.0,
2月5日,省级,江苏,,32.0,13.0,,,,,,26.0,
2月6日,省级,江苏,,35.0,12.0,,,,,,38.0,
2月7日,省级,江苏,,31.0,5.0,,,,,,43.0,
2月8日,省级,江苏,,29.0,8.0,,,,,,51.0,
2月9日,省级,江苏,,24.0,21.0,,,,,,72.0,
2月10日,省级,江苏,,23.0,12.0,,,,,,84.0,
2月11日,省级,江苏,,28.0,10.0,,,,,,94.0,
2月12日,省级,江苏,,27.0,37.0,,,,,,131.0,
2月13日,省级,江苏,,23.0,6.0,,,,,,,
2月14日,省级,江苏,,11.0,23.0,,,,,,,
2月15日,省级,江苏,,13.0,30.0,,,,,,,
2月16日,省级,江苏,,9.0,36.0,,,,,626.0,226.0,
2月17日,省级,江苏,,3.0,37.0,,,,,629.0,263.0,
2月18日,省级,江苏,,2.0,33.0,,,,,631.0,296.0,
2月19日,省级,江苏,,,29.0,,,,,631.0,325.0,
2月20日,省级,江苏,,,27.0,,,,,631.0,352.0,
2月21日,省级,江苏,,,35.0,,,,,631.0,387.0,
2月22日,省级,江苏,,,24.0,,,,,631.0,411.0,
2月23日,省级,江苏,,,16.0,,,,,631.0,427.0,
2月24日,省级,江苏,,,31.0,,,,,631.0,458.0,
2月25日,省级,江苏,,,5.0,,,,,631.0,463.0,
2月26日,省级,江苏,,,31.0,,,,,631.0,494.0,
2月27日,省级,江苏,,,12.0,,,,,631.0,506.0,
2月28日,省级,江苏,,,13.0,,,,,631.0,519.0,
2月29日,省级,江苏,,,10.0,,,,,631.0,529.0,
3月1日,省级,江苏,,,7.0,,,,,631.0,536.0,
3月2日,省级,江苏,,,19.0,,,,,631.0,555.0,
3月3日,省级,江苏,,,10.0,,,,,631.0,565.0,
3月4日,省级,江苏,,,15.0,,,,,631.0,580.0,
3月5日,省级,江苏,,,8.0,,,,,631.0,588.0,
3月6日,省级,江苏,,,13.0,,,,,631.0,601.0,
3月7日,省级,江苏,,,9.0,,,,,631.0,610.0,
