公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,江西,,,,,,,,,,
1月11日,省级,江西,,,,,,,,,,
1月12日,省级,江西,,,,,,,,,,
1月13日,省级,江西,,,,,,,,,,
1月14日,省级,江西,,,,,,,,,,
1月15日,省级,江西,,,,,,,,,,
1月16日,省级,江西,,,,,,,,,,
1月17日,省级,江西,,,,,,,,,,
1月18日,省级,江西,,,,,,,,,,
1月19日,省级,江西,,,,,,,,,,
1月20日,省级,江西,,,,,,,,,,
1月21日,省级,江西,,2.0,,,,,,,,
1月22日,省级,江西,,1.0,,,,,,,,
1月23日,省级,江西,,4.0,,,,,,,,
1月24日,省级,江西,,11.0,,,,,,,,
1月25日,省级,江西,,18.0,,,,,,,,
1月26日,省级,江西,,12.0,,,,,,,,
1月27日,省级,江西,,24.0,2.0,,,,,,2.0,
1月28日,省级,江西,,37.0,1.0,,,,,,3.0,
1月29日,省级,江西,,53.0,,,,,,,3.0,
1月30日,省级,江西,,78.0,4.0,,,,,,7.0,
1月31日,省级,江西,,47.0,2.0,,-1.0,,,,9.0,
2月1日,省级,江西,,47.0,1.0,,,,,,10.0,
2月2日,省级,江西,,59.0,8.0,,-1.0,,,,18.0,
2月3日,省级,江西,,85.0,1.0,,,,,,19.0,
2月4日,省级,江西,,72.0,8.0,,,,,,27.0,
2月5日,省级,江西,,52.0,10.0,,,,,,37.0,
2月6日,省级,江西,,61.0,8.0,,,,,,45.0,
2月7日,省级,江西,,37.0,10.0,,,,,,55.0,
2月8日,省级,江西,,42.0,17.0,,,,,,72.0,
2月9日,省级,江西,,32.0,30.0,1.0,-1.0,,,,102.0,1.0
2月10日,省级,江西,,32.0,25.0,,1.0,,,,127.0,1.0
2月11日,省级,江西,,40.0,25.0,,,,,,152.0,1.0
2月12日,省级,江西,,28.0,18.0,,,,,,170.0,1.0
2月13日,省级,江西,,28.0,17.0,,,,,,,
2月14日,省级,江西,,13.0,23.0,,,,,,,
2月15日,省级,江西,,12.0,29.0,,,,,,,
2月16日,省级,江西,,5.0,36.0,,,,,930.0,275.0,1.0
2月17日,省级,江西,,3.0,35.0,,,,,933.0,310.0,1.0
2月18日,省级,江西,,1.0,52.0,,,,,934.0,362.0,1.0
2月19日,省级,江西,,1.0,70.0,,-1.0,,,934.0,432.0,1.0
2月20日,省级,江西,,,57.0,,,,,934.0,489.0,1.0
2月21日,省级,江西,,,55.0,,,,,934.0,544.0,1.0
2月22日,省级,江西,,,67.0,,,,,934.0,611.0,1.0
2月23日,省级,江西,,,34.0,,,,,934.0,645.0,1.0
2月24日,省级,江西,,,37.0,,,,,934.0,682.0,1.0
2月25日,省级,江西,,,37.0,,,,,934.0,719.0,1.0
2月26日,省级,江西,,,35.0,,,,,934.0,754.0,1.0
2月27日,省级,江西,,1.0,36.0,,,,,935.0,790.0,1.0
2月28日,省级,江西,,,21.0,,,,,935.0,811.0,1.0
2月29日,省级,江西,,,20.0,,,,,935.0,831.0,1.0
3月1日,省级,江西,,,19.0,,,,,935.0,850.0,1.0
3月2日,省级,江西,,,20.0,,,,,935.0,870.0,1.0
3月3日,省级,江西,,,14.0,,,,,935.0,884.0,1.0
3月4日,省级,江西,,,17.0,,,,,935.0,901.0,1.0
3月5日,省级,江西,,,7.0,,,,,935.0,908.0,1.0
3月6日,省级,江西,,,8.0,,,,,935.0,916.0,1.0
3月7日,省级,江西,,,2.0,,,,,935.0,918.0,1.0
