公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,河北,,,,,,,,,,
1月11日,省级,河北,,,,,,,,,,
1月12日,省级,河北,,,,,,,,,,
1月13日,省级,河北,,,,,,,,,,
1月14日,省级,河北,,,,,,,,,,
1月15日,省级,河北,,,,,,,,,,
1月16日,省级,河北,,,,,,,,,,
1月17日,省级,河北,,,,,,,,,,
1月18日,省级,河北,,,,,,,,,,
1月19日,省级,河北,,,,,,,,,,
1月20日,省级,河北,,,,,,,,,,
1月21日,省级,河北,,,,,,,,,,
1月22日,省级,河北,,1.0,,,,,,,,
1月23日,省级,河北,,1.0,,1.0,,,,,,1.0
1月24日,省级,河北,,6.0,,,,,,,,1.0
1月25日,省级,河北,,5.0,,,,,,,,1.0
1月26日,省级,河北,,5.0,,,,,,,,1.0
1月27日,省级,河北,,15.0,,,,,,,,1.0
1月28日,省级,河北,,15.0,,,,,,,,1.0
1月29日,省级,河北,,17.0,,,,,,,,1.0
1月30日,省级,河北,,17.0,,,,,,,,1.0
1月31日,省级,河北,,14.0,,,,,,,,1.0
2月1日,省级,河北,,8.0,3.0,,,,,,3.0,1.0
2月2日,省级,河北,,9.0,,,,,,,3.0,1.0
2月3日,省级,河北,,13.0,,,,,,,3.0,1.0
2月4日,省级,河北,,9.0,1.0,,,,,,4.0,1.0
2月5日,省级,河北,,22.0,3.0,,,,,,7.0,1.0
2月6日,省级,河北,,14.0,9.0,,,,,,16.0,1.0
2月7日,省级,河北,,24.0,9.0,,,,,,25.0,1.0
2月8日,省级,河北,,11.0,5.0,1.0,,,,,30.0,2.0
2月9日,省级,河北,,12.0,5.0,,,,,,35.0,2.0
2月10日,省级,河北,,21.0,6.0,,,,,,41.0,2.0
2月11日,省级,河北,,12.0,7.0,,,,,,48.0,
2月12日,省级,河北,,14.0,6.0,1.0,,,,,54.0,3.0
2月13日,省级,河北,,18.0,15.0,,,,,,,
2月14日,省级,河北,,8.0,17.0,,,,,,,
2月15日,省级,河北,,9.0,14.0,,,,,,,
2月16日,省级,河北,,1.0,9.0,,,,,301.0,109.0,3.0
2月17日,省级,河北,,1.0,14.0,1.0,,,,302.0,123.0,4.0
2月18日,省级,河北,,4.0,13.0,,,,,306.0,136.0,4.0
2月19日,省级,河北,,1.0,16.0,1.0,,,,307.0,152.0,5.0
2月20日,省级,河北,,1.0,18.0,,,,,308.0,170.0,5.0
2月21日,省级,河北,,1.0,14.0,1.0,,,,309.0,184.0,6.0
2月22日,省级,河北,,2.0,20.0,,,,,311.0,204.0,6.0
2月23日,省级,河北,,,17.0,,,,,311.0,221.0,6.0
2月24日,省级,河北,,,20.0,,,,,311.0,241.0,6.0
2月25日,省级,河北,,1.0,7.0,,,,,312.0,248.0,6.0
2月26日,省级,河北,,5.0,13.0,,,,,317.0,261.0,6.0
2月27日,省级,河北,,1.0,13.0,,,,,318.0,274.0,6.0
2月28日,省级,河北,,,3.0,,,,,318.0,277.0,6.0
2月29日,省级,河北,,,6.0,,,,,318.0,283.0,6.0
3月1日,省级,河北,,,11.0,,,,,318.0,294.0,6.0
3月2日,省级,河北,,,3.0,,,,,318.0,297.0,6.0
3月3日,省级,河北,,,3.0,,,,,318.0,300.0,6.0
3月4日,省级,河北,,,1.0,,,,,318.0,301.0,6.0
3月5日,省级,河北,,,3.0,,,,,318.0,304.0,6.0
3月6日,省级,河北,,,1.0,,,,,318.0,305.0,6.0
3月7日,省级,河北,,,2.0,,,,,318.0,307.0,6.0
