公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,河南,,,,,,,,,,
1月11日,省级,河南,,,,,,,,,,
1月12日,省级,河南,,,,,,,,,,
1月13日,省级,河南,,,,,,,,,,
1月14日,省级,河南,,,,,,,,,,
1月15日,省级,河南,,,,,,,,,,
1月16日,省级,河南,,,,,,,,,,
1月17日,省级,河南,,,,,,,,,,
1月18日,省级,河南,,,,,,,,,,
1月19日,省级,河南,,,,,,,,,,
1月20日,省级,河南,,,,,,,,,,
1月21日,省级,河南,,1.0,,,,,,,,
1月22日,省级,河南,,4.0,,,,,,,,
1月23日,省级,河南,,4.0,,,,,,,,
1月24日,省级,河南,,23.0,,,,,,,,
1月25日,省级,河南,,51.0,,1.0,,,,,,1.0
1月26日,省级,河南,,45.0,,,,,,,,1.0
1月27日,省级,河南,,40.0,,,,,,,,1.0
1月28日,省级,河南,,38.0,1.0,1.0,,,,,1.0,2.0
1月29日,省级,河南,,72.0,1.0,,,,,,2.0,2.0
1月30日,省级,河南,,74.0,1.0,,,,,,3.0,2.0
1月31日,省级,河南,,70.0,,,,,,,3.0,2.0
2月1日,省级,河南,,71.0,1.0,,,,,,4.0,2.0
2月2日,省级,河南,,73.0,10.0,,,,,,14.0,2.0
2月3日,省级,河南,,109.0,6.0,,,,,,20.0,2.0
2月4日,省级,河南,,89.0,21.0,,,,,,41.0,2.0
2月5日,省级,河南,,87.0,13.0,,,,,,54.0,2.0
2月6日,省级,河南,,63.0,14.0,1.0,,,,,68.0,3.0
2月7日,省级,河南,,67.0,29.0,1.0,,,,,97.0,4.0
2月8日,省级,河南,,53.0,34.0,2.0,-1.0,,,,131.0,6.0
2月9日,省级,河南,,40.0,38.0,,,,,,169.0,6.0
2月10日,省级,河南,,32.0,29.0,1.0,,,,,198.0,7.0
2月11日,省级,河南,,30.0,33.0,1.0,,,,,231.0,8.0
2月12日,省级,河南,,34.0,27.0,2.0,,,,,258.0,10.0
2月13日,省级,河南,,15.0,55.0,1.0,,,,,,
2月14日,省级,河南,,28.0,45.0,2.0,,-2.0,,,,
2月15日,省级,河南,,19.0,42.0,,,-1.0,,,,
2月16日,省级,河南,,15.0,41.0,3.0,,,,1246.0,438.0,16.0
2月17日,省级,河南,,11.0,67.0,3.0,,,,1257.0,505.0,19.0
2月18日,省级,河南,,5.0,47.0,,,,,1262.0,552.0,19.0
2月19日,省级,河南,,4.0,62.0,,-1.0,,,1265.0,614.0,19.0
2月20日,省级,河南,,2.0,103.0,,,,,1267.0,717.0,19.0
2月21日,省级,河南,,3.0,85.0,,,,,1270.0,802.0,19.0
2月22日,省级,河南,,1.0,59.0,,,,,1271.0,861.0,19.0
2月23日,省级,河南,,,69.0,,,,,1271.0,930.0,19.0
2月24日,省级,河南,,,59.0,,,,,,989.0,19.0
2月25日,省级,河南,,,34.0,,,,,1271.0,1023.0,19.0
2月26日,省级,河南,,1.0,39.0,1.0,,,,1272.0,1062.0,20.0
2月27日,省级,河南,,,41.0,,,,,1272.0,1103.0,20.0
2月28日,省级,河南,,,58.0,1.0,,,,1272.0,1161.0,21.0
2月29日,省级,河南,,,24.0,1.0,,,,1272.0,1185.0,22.0
3月1日,省级,河南,,,20.0,,,,,1272.0,1205.0,22.0
3月2日,省级,河南,,,18.0,,,,,1272.0,1223.0,22.0
3月3日,省级,河南,,,11.0,,,,,1272.0,1234.0,22.0
3月4日,省级,河南,,,5.0,,,,,1272.0,1239.0,22.0
3月5日,省级,河南,,,2.0,,,,,1272.0,1241.0,22.0
3月6日,省级,河南,,,2.0,,,,,1272.0,1243.0,22.0
3月7日,省级,河南,,,3.0,,,,,1272.0,1246.0,22.0
