公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,浙江,,,,,,,,,,
1月11日,省级,浙江,,,,,,,,,,
1月12日,省级,浙江,,,,,,,,,,
1月13日,省级,浙江,,,,,,,,,,
1月14日,省级,浙江,,,,,,,,,,
1月15日,省级,浙江,,,,,,,,,,
1月16日,省级,浙江,,,,,,,,,,
1月17日,省级,浙江,,,,,,,,,,
1月18日,省级,浙江,,,,,,,,,,
1月19日,省级,浙江,,,,,,,,,,
1月20日,省级,浙江,,5.0,,,,,,,,
1月21日,省级,浙江,,5.0,,,,,,,,
1月22日,省级,浙江,,17.0,1.0,,,,,,1.0,
1月23日,省级,浙江,,16.0,,,,,,,1.0,
1月24日,省级,浙江,,19.0,,,,,,,1.0,
1月25日,省级,浙江,,42.0,,,,,,,1.0,
1月26日,省级,浙江,,24.0,,,,,,,1.0,
1月27日,省级,浙江,,45.0,,,,,,,1.0,
1月28日,省级,浙江,,123.0,2.0,,,,,,3.0,
1月29日,省级,浙江,,132.0,1.0,,,,,,4.0,
1月30日,省级,浙江,,109.0,5.0,,,,,,9.0,
1月31日,省级,浙江,,62.0,6.0,,,,,,15.0,
2月1日,省级,浙江,,62.0,8.0,,,,,,23.0,
2月2日,省级,浙江,,63.0,13.0,,,,,,36.0,
2月3日,省级,浙江,,105.0,12.0,,,,,,48.0,
2月4日,省级,浙江,,66.0,15.0,,,,,,63.0,
2月5日,省级,浙江,,59.0,18.0,,,,,,81.0,
2月6日,省级,浙江,,52.0,17.0,,,,,,98.0,
2月7日,省级,浙江,,42.0,29.0,,,,,,127.0,
2月8日,省级,浙江,,27.0,46.0,,,,,,173.0,
2月9日,省级,浙江,,29.0,28.0,,-12.0,,,,201.0,
2月10日,省级,浙江,,25.0,50.0,,,,,,251.0,
2月11日,省级,浙江,,14.0,28.0,,,,,,279.0,
2月12日,省级,浙江,,14.0,48.0,,,,,,327.0,
2月13日,省级,浙江,,10.0,40.0,,,,,,,
2月14日,省级,浙江,,7.0,42.0,,,,,,,
2月15日,省级,浙江,,5.0,28.0,,,,,,,
2月16日,省级,浙江,,4.0,33.0,,,,,1171.0,470.0,
2月17日,省级,浙江,,1.0,44.0,,,,,1172.0,514.0,
2月18日,省级,浙江,,1.0,30.0,,,,,1173.0,544.0,
2月19日,省级,浙江,,2.0,65.0,,,,,1175.0,609.0,
2月20日,省级,浙江,,28.0,38.0,1.0,,,,1203.0,647.0,1.0
2月21日,省级,浙江,,2.0,47.0,,,,,1205.0,694.0,1.0
2月22日,省级,浙江,,,35.0,,,,,1205.0,729.0,1.0
2月23日,省级,浙江,,,36.0,,,,,1205.0,765.0,1.0
2月24日,省级,浙江,,,29.0,,,,,1205.0,794.0,1.0
2月25日,省级,浙江,,,20.0,,,,,1205.0,814.0,1.0
2月26日,省级,浙江,,,67.0,,,,,1205.0,881.0,1.0
2月27日,省级,浙江,,,62.0,,,,,1205.0,943.0,1.0
2月28日,省级,浙江,,,44.0,,,,,1205.0,987.0,1.0
2月29日,省级,浙江,,,40.0,,,,,1205.0,1027.0,1.0
3月1日,省级,浙江,,1.0,23.0,,,,,1206.0,1050.0,1.0
3月2日,省级,浙江,,7.0,36.0,,,,,1213.0,1086.0,1.0
3月3日,省级,浙江,,,21.0,,,,,1213.0,1107.0,1.0
3月4日,省级,浙江,,2.0,23.0,,,,,1215.0,1130.0,1.0
3月5日,省级,浙江,,,23.0,,,,,1215.0,1153.0,1.0
3月6日,省级,浙江,,,8.0,,,,,1215.0,1161.0,1.0
3月7日,省级,浙江,,,8.0,,,,,1215.0,1169.0,1.0
