公开时间,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,扣除核减累计确诊人数,累计治愈人数,累计死亡人数,累计确诊人数
2019/12/31,0,0,0,0,0,0,0,0,0,0
2020/1/1,0,0,0,0,0,0,0,0,0,0
2020/1/2,0,0,0,0,0,0,0,0,0,0
2020/1/3,0,0,0,0,0,0,0,0,0,0
2020/1/4,0,0,0,0,0,0,0,0,0,0
2020/1/5,0,0,0,0,0,0,0,0,0,0
2020/1/6,0,0,0,0,0,0,0,0,0,0
2020/1/7,0,0,0,0,0,0,0,0,0,0
2020/1/8,0,0,0,0,0,0,0,0,0,0
2020/1/9,0,0,0,0,0,0,0,0,0,0
2020/1/10,41,2,1,0,0,0,41,2,1,41
2020/1/11,0,4,0,0,0,0,41,6,1,41
2020/1/12,0,1,0,0,0,0,41,7,1,41
2020/1/13,0,0,0,0,0,0,41,7,1,41
2020/1/14,0,0,0,0,0,0,41,7,1,41
2020/1/15,0,5,1,0,0,0,41,12,2,41
2020/1/16,4,3,0,0,0,0,45,15,2,45
2020/1/17,17,4,0,0,0,0,62,19,2,62
2020/1/18,59,5,1,0,0,0,121,24,3,121
2020/1/19,77,1,1,0,0,0,198,25,4,198
2020/1/20,72,0,2,0,0,0,270,25,6,270
2020/1/21,105,3,3,0,0,0,375,28,9,375
2020/1/22,69,0,8,0,0,0,444,28,17,444
2020/1/23,105,3,7,0,0,0,549,31,24,549
2020/1/24,180,1,15,0,0,0,729,32,39,729
2020/1/25,323,10,13,0,0,0,1052,42,52,1052
2020/1/26,371,2,24,0,0,0,1423,44,76,1423
2020/1/27,1291,3,24,0,0,0,2714,47,100,2714
2020/1/28,840,33,25,0,0,0,3554,80,125,3554
2020/1/29,1032,10,37,0,0,0,4586,90,162,4586
2020/1/30,1220,26,42,0,0,0,5806,116,204,5806
2020/1/31,1347,50,45,0,0,0,7153,166,249,7153
2020/2/1,1921,49,45,0,0,0,9074,215,294,9074
2020/2/2,2103,80,56,0,0,0,11177,295,350,11177
2020/2/3,2345,101,64,0,0,0,13522,396,414,13522
2020/2/4,3156,125,65,0,-1,0,16678,520,479,16678
2020/2/5,2987,113,70,0,0,0,19665,633,549,19665
2020/2/6,2447,184,69,0,0,0,22112,817,618,22112
2020/2/7,2841,298,81,0,0,0,24953,1115,699,24953
2020/2/8,2147,324,81,0,0,0,27100,1439,780,27100
2020/2/9,2618,356,91,-87,0,0,29631,1795,871,29718
2020/2/10,2097,427,103,0,0,0,31728,2222,974,31815
2020/2/11,1638,417,94,0,0,0,33366,2639,1068,33453
2020/2/12,14840,802,242,0,0,0,48206,3441,1310,48293
2020/2/13,4823,690,116,-1043,-269,-108,51986,3862,1318,53116
2020/2/14,2442,912,139,-22,0,0,54406,4774,1457,55558
2020/2/15,1848,849,139,-5,0,0,56249,5623,1596,57406
2020/2/16,1944,1016,100,-11,0,0,58182,6639,1696,59350
2020/2/17,1825,1223,93,-18,0,0,59989,7862,1789,61175
2020/2/18,1746,1266,133,-53,0,-1,61682,9128,1921,62921
2020/2/19,775,1209,108,0,0,0,62457,10337,2029,63696
2020/2/20,631,1451,115,0,0,0,63088,11788,2144,64327
2020/2/21,366,1767,106,0,2,0,63454,13557,2250,64693
2020/2/22,630,1742,96,0,0,0,64084,15299,2346,65323
2020/2/23,398,1439,149,-195,0,0,64287,16738,2495,65721
2020/2/24,499,2116,68,0,0,0,64786,18854,2563,66220
2020/2/25,401,2058,52,0,0,0,65187,20912,2615,66621
2020/2/26,409,2288,26,0,0,0,65596,23200,2641,67030
2020/2/27,318,3203,41,0,0,0,65914,26403,2682,67348
2020/2/28,423,2492,45,0,0,0,66337,28895,2727,67771
2020/2/29,570,2292,34,0,0,0,66907,31187,2761,68341
2020/3/1,196,2570,42,0,0,0,67103,33757,2803,68537
2020/3/2,114,2410,31,0,0,0,67217,36167,2834,68651
2020/3/3,115,2389,37,0,0,0,67332,38556,2871,68766
2020/3/4,134,1923,31,0,0,0,67466,40479,2902,68900
2020/3/5,126,1487,29,0,0,0,67592,41966,2931,69026
2020/3/6,74,1502,28,0,0,0,67666,43468,2959,69100
2020/3/7,41,1543,27,0,0,0,67707,45011,2986,69141
