公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,湖南,,,,,,,,,,
1月11日,省级,湖南,,,,,,,,,,
1月12日,省级,湖南,,,,,,,,,,
1月13日,省级,湖南,,,,,,,,,,
1月14日,省级,湖南,,,,,,,,,,
1月15日,省级,湖南,,,,,,,,,,
1月16日,省级,湖南,,,,,,,,,,
1月17日,省级,湖南,,,,,,,,,,
1月18日,省级,湖南,,,,,,,,,,
1月19日,省级,湖南,,,,,,,,,,
1月20日,省级,湖南,,,,,,,,,,
1月21日,省级,湖南,,1.0,,,,,,,,
1月22日,省级,湖南,,8.0,,,,,,,,
1月23日,省级,湖南,,15.0,,,,,,,,
1月24日,省级,湖南,,19.0,,,,,,,,
1月25日,省级,湖南,,26.0,,,,,,,,
1月26日,省级,湖南,,31.0,,,,,,,,
1月27日,省级,湖南,,43.0,,,,,,,,
1月28日,省级,湖南,,78.0,,,,,,,,
1月29日,省级,湖南,,56.0,,,,,,,,
1月30日,省级,湖南,,55.0,2.0,,,,,,2.0,
1月31日,省级,湖南,,57.0,1.0,,,,,,3.0,
2月1日,省级,湖南,,74.0,5.0,,,,,,8.0,
2月2日,省级,湖南,,58.0,8.0,,,,,,16.0,
2月3日,省级,湖南,,72.0,6.0,,,,,,22.0,
2月4日,省级,湖南,,68.0,13.0,,,,,,35.0,
2月5日,省级,湖南,,50.0,21.0,,,,,,56.0,
2月6日,省级,湖南,,61.0,35.0,,,,,,91.0,
2月7日,省级,湖南,,31.0,28.0,,,,,,119.0,
2月8日,省级,湖南,,35.0,40.0,1.0,,,,,159.0,1.0
2月9日,省级,湖南,,41.0,27.0,,,,,,186.0,1.0
2月10日,省级,湖南,,33.0,27.0,,,,,,213.0,1.0
2月11日,省级,湖南,,34.0,50.0,1.0,,,,,263.0,2.0
2月12日,省级,湖南,,22.0,49.0,,,,,,312.0,
2月13日,省级,湖南,,20.0,40.0,,,,,,,
2月14日,省级,湖南,,13.0,37.0,,,,,,,
2月15日,省级,湖南,,3.0,41.0,1.0,,,,,,
2月16日,省级,湖南,,2.0,37.0,,,,,1006.0,467.0,3.0
2月17日,省级,湖南,,1.0,34.0,1.0,,,,1007.0,501.0,4.0
2月18日,省级,湖南,,1.0,41.0,,,,,1008.0,542.0,4.0
2月19日,省级,湖南,,2.0,36.0,,,,,1010.0,578.0,4.0
2月20日,省级,湖南,,1.0,60.0,,,,,1011.0,638.0,4.0
2月21日,省级,湖南,,2.0,32.0,,,,,1013.0,670.0,4.0
2月22日,省级,湖南,,3.0,35.0,,,-1.0,,1016.0,704.0,4.0
2月23日,省级,湖南,,,17.0,,,,,1016.0,721.0,4.0
2月24日,省级,湖南,,,30.0,,,,,1016.0,751.0,4.0
2月25日,省级,湖南,,,28.0,,,,,1016.0,779.0,4.0
2月26日,省级,湖南,,1.0,14.0,,,,,1017.0,793.0,4.0
2月27日,省级,湖南,,,27.0,,,,,1017.0,820.0,4.0
2月28日,省级,湖南,,1.0,21.0,,,,,1018.0,841.0,4.0
2月29日,省级,湖南,,,12.0,,,,,1018.0,853.0,4.0
3月1日,省级,湖南,,,23.0,,,,,1018.0,876.0,4.0
3月2日,省级,湖南,,,16.0,,,,,1018.0,892.0,4.0
3月3日,省级,湖南,,,21.0,,,,,1018.0,913.0,4.0
3月4日,省级,湖南,,,20.0,,,,,1018.0,933.0,4.0
3月5日,省级,湖南,,,13.0,,,,,1018.0,946.0,4.0
3月6日,省级,湖南,,,13.0,,,,,1018.0,959.0,4.0
3月7日,省级,湖南,,,6.0,,,,,1018.0,965.0,4.0
