公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,福建,,,,,,,,,,
1月11日,省级,福建,,,,,,,,,,
1月12日,省级,福建,,,,,,,,,,
1月13日,省级,福建,,,,,,,,,,
1月14日,省级,福建,,,,,,,,,,
1月15日,省级,福建,,,,,,,,,,
1月16日,省级,福建,,,,,,,,,,
1月17日,省级,福建,,,,,,,,,,
1月18日,省级,福建,,,,,,,,,,
1月19日,省级,福建,,,,,,,,,,
1月20日,省级,福建,,,,,,,,,,
1月21日,省级,福建,,,,,,,,,,
1月22日,省级,福建,,1.0,,,,,,,,
1月23日,省级,福建,,4.0,,,,,,,,
1月24日,省级,福建,,5.0,,,,,,,,
1月25日,省级,福建,,8.0,,,,,,,,
1月26日,省级,福建,,17.0,,,,,,,,
1月27日,省级,福建,,24.0,,,,,,,,
1月28日,省级,福建,,23.0,,,,,,,,
1月29日,省级,福建,,19.0,,,,,,,,
1月30日,省级,福建,,19.0,,,,,,,,
1月31日,省级,福建,,24.0,,,,,,,,
2月1日,省级,福建,,15.0,,,,,,,,
2月2日,省级,福建,,20.0,,,,,,,,
2月3日,省级,福建,,15.0,1.0,,,,,,1.0,
2月4日,省级,福建,,11.0,6.0,,,,,,7.0,
2月5日,省级,福建,,10.0,4.0,,,,,,11.0,
2月6日,省级,福建,,9.0,4.0,,,,,,15.0,
2月7日,省级,福建,,15.0,5.0,,,,,,20.0,
2月8日,省级,福建,,11.0,4.0,,,,,,24.0,
2月9日,省级,福建,,11.0,11.0,,,,,,35.0,
2月10日,省级,福建,,6.0,4.0,,,,,,39.0,
2月11日,省级,福建,,5.0,7.0,,,,,,46.0,
2月12日,省级,福建,,7.0,8.0,,,,,,54.0,
2月13日,省级,福建,,2.0,5.0,,,,,,,
2月14日,省级,福建,,4.0,7.0,,,,,,,
2月15日,省级,福建,,2.0,11.0,,,,,,,
2月16日,省级,福建,,3.0,7.0,,,,,290.0,84.0,
2月17日,省级,福建,,2.0,7.0,,,,,292.0,91.0,
2月18日,省级,福建,,1.0,5.0,,,,,293.0,96.0,
2月19日,省级,福建,,,16.0,1.0,,,,293.0,112.0,1.0
2月20日,省级,福建,,,22.0,,,,,293.0,134.0,1.0
2月21日,省级,福建,,,16.0,,,,,293.0,150.0,1.0
2月22日,省级,福建,,,15.0,,,,,293.0,165.0,1.0
2月23日,省级,福建,,,9.0,,,,,293.0,174.0,1.0
2月24日,省级,福建,,1.0,14.0,,,,,294.0,188.0,1.0
2月25日,省级,福建,,,17.0,,,,,294.0,205.0,1.0
2月26日,省级,福建,,2.0,20.0,,,,,296.0,225.0,1.0
2月27日,省级,福建,,,7.0,,,,,296.0,232.0,1.0
2月28日,省级,福建,,,9.0,,,,,296.0,241.0,1.0
2月29日,省级,福建,,,2.0,,,,,296.0,243.0,1.0
3月1日,省级,福建,,,4.0,,,,,296.0,247.0,1.0
3月2日,省级,福建,,,8.0,,,,,296.0,255.0,1.0
3月3日,省级,福建,,,6.0,,,,,296.0,261.0,1.0
3月4日,省级,福建,,,9.0,,,,,296.0,270.0,1.0
3月5日,省级,福建,,,8.0,,,,,296.0,278.0,1.0
3月6日,省级,福建,,,6.0,,,,,296.0,284.0,1.0
3月7日,省级,福建,,,11.0,,,,,296.0,295.0,1.0
