公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,辽宁,,,,,,,,,,
1月11日,省级,辽宁,,,,,,,,,,
1月12日,省级,辽宁,,,,,,,,,,
1月13日,省级,辽宁,,,,,,,,,,
1月14日,省级,辽宁,,,,,,,,,,
1月15日,省级,辽宁,,,,,,,,,,
1月16日,省级,辽宁,,,,,,,,,,
1月17日,省级,辽宁,,,,,,,,,,
1月18日,省级,辽宁,,,,,,,,,,
1月19日,省级,辽宁,,,,,,,,,,
1月20日,省级,辽宁,,,,,,,,,,
1月21日,省级,辽宁,,,,,,,,,,
1月22日,省级,辽宁,,2.0,,,,,,,,
1月23日,省级,辽宁,,2.0,,,,,,,,
1月24日,省级,辽宁,,8.0,,,,,,,,
1月25日,省级,辽宁,,5.0,,,,,,,,
1月26日,省级,辽宁,,5.0,,,,,,,,
1月27日,省级,辽宁,,8.0,,,,,,,,
1月28日,省级,辽宁,,6.0,,,,,,,,
1月29日,省级,辽宁,,5.0,1.0,,,,,,1.0,
1月30日,省级,辽宁,,4.0,,,,,,,,
1月31日,省级,辽宁,,15.0,,,,,,,1.0,
2月1日,省级,辽宁,,4.0,,,,,,,1.0,
2月2日,省级,辽宁,,6.0,,,,,,,1.0,
2月3日,省级,辽宁,,4.0,,,,,,,1.0,
2月4日,省级,辽宁,,7.0,1.0,,,,,,2.0,
2月5日,省级,辽宁,,8.0,2.0,,,,,,4.0,
2月6日,省级,辽宁,,6.0,2.0,,,,,,6.0,
2月7日,省级,辽宁,,4.0,1.0,,,,,,7.0,
2月8日,省级,辽宁,,6.0,1.0,,,,,,8.0,
2月9日,省级,辽宁,,2.0,4.0,,,,,,12.0,
2月10日,省级,辽宁,,1.0,,,,,,,12.0,
2月11日,省级,辽宁,,8.0,7.0,,,,,,19.0,
2月12日,省级,辽宁,,,1.0,1.0,,,,,20.0,1.0
2月13日,省级,辽宁,,1.0,2.0,,,,,,,
2月14日,省级,辽宁,,2.0,7.0,,,,,,,
2月15日,省级,辽宁,,1.0,3.0,,,,,,,
2月16日,省级,辽宁,,1.0,9.0,,,,,121.0,41.0,1.0
2月17日,省级,辽宁,,,2.0,,,,,121.0,43.0,1.0
2月18日,省级,辽宁,,,12.0,,,,,121.0,55.0,1.0
2月19日,省级,辽宁,,,3.0,,,,,121.0,58.0,1.0
2月20日,省级,辽宁,,,3.0,,,,,121.0,61.0,1.0
2月21日,省级,辽宁,,,5.0,,,,,121.0,66.0,1.0
2月22日,省级,辽宁,,,2.0,,,,,121.0,68.0,1.0
2月23日,省级,辽宁,,,5.0,,,,,121.0,73.0,1.0
2月24日,省级,辽宁,,,10.0,,,,,121.0,83.0,1.0
2月25日,省级,辽宁,,,5.0,,,,,121.0,88.0,1.0
2月26日,省级,辽宁,,,4.0,,,,,121.0,92.0,1.0
2月27日,省级,辽宁,,,1.0,,,,,121.0,93.0,1.0
2月28日,省级,辽宁,,,2.0,,,,,121.0,95.0,1.0
2月29日,省级,辽宁,,1.0,6.0,,,,,122.0,101.0,1.0
3月1日,省级,辽宁,,,2.0,,,,,122.0,103.0,1.0
3月2日,省级,辽宁,,3.0,,,,,,125.0,103.0,1.0
3月3日,省级,辽宁,,,3.0,,,,,125.0,106.0,1.0
3月4日,省级,辽宁,,,,,,,,125.0,106.0,1.0
3月5日,省级,辽宁,,,,,,,,125.0,106.0,1.0
3月6日,省级,辽宁,,,,,,,,125.0,106.0,1.0
3月7日,省级,辽宁,,,2.0,,,,,125.0,108.0,1.0
