公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,重庆,,,,,,,,,,
1月11日,省级,重庆,,,,,,,,,,
1月12日,省级,重庆,,,,,,,,,,
1月13日,省级,重庆,,,,,,,,,,
1月14日,省级,重庆,,,,,,,,,,
1月15日,省级,重庆,,,,,,,,,,
1月16日,省级,重庆,,,,,,,,,,
1月17日,省级,重庆,,,,,,,,,,
1月18日,省级,重庆,,,,,,,,,,
1月19日,省级,重庆,,,,,,,,,,
1月20日,省级,重庆,,,,,,,,,,
1月21日,省级,重庆,,6.0,,,,,,,,
1月22日,省级,重庆,,3.0,,,,,,,,
1月23日,省级,重庆,,18.0,,,,,,,,
1月24日,省级,重庆,,30.0,,,,,,,,
1月25日,省级,重庆,,18.0,,,,,,,,
1月26日,省级,重庆,,35.0,,,,,,,,
1月27日,省级,重庆,,22.0,,,,,,,,
1月28日,省级,重庆,,15.0,,,,,,,,
1月29日,省级,重庆,,18.0,1.0,,,,,,1.0,
1月30日,省级,重庆,,41.0,,,,,,,1.0,
1月31日,省级,重庆,,32.0,,1.0,,,,,1.0,1.0
2月1日,省级,重庆,,24.0,2.0,,,,,,3.0,1.0
2月2日,省级,重庆,,38.0,4.0,1.0,,,,,7.0,2.0
2月3日,省级,重庆,,37.0,2.0,,,,,,9.0,2.0
2月4日,省级,重庆,,29.0,5.0,,,,,,14.0,2.0
2月5日,省级,重庆,,23.0,1.0,,,,,,15.0,2.0
2月6日,省级,重庆,,22.0,9.0,,,,,,24.0,2.0
2月7日,省级,重庆,,15.0,7.0,,,,,,31.0,2.0
2月8日,省级,重庆,,20.0,8.0,,,,,,39.0,2.0
2月9日,省级,重庆,,22.0,12.0,,,,,,51.0,2.0
2月10日,省级,重庆,,18.0,15.0,,,,,,66.0,2.0
2月11日,省级,重庆,,19.0,13.0,1.0,,,,,79.0,3.0
2月12日,省级,重庆,,13.0,23.0,,,,,,102.0,3.0
2月13日,省级,重庆,,11.0,26.0,1.0,,,,,,
2月14日,省级,重庆,,8.0,24.0,1.0,,,,,,
2月15日,省级,重庆,,7.0,32.0,,,,,,,
2月16日,省级,重庆,,7.0,23.0,,,,,551.0,207.0,5.0
2月17日,省级,重庆,,2.0,18.0,,,,,553.0,225.0,5.0
2月18日,省级,重庆,,2.0,29.0,,,,,555.0,254.0,5.0
2月19日,省级,重庆,,5.0,20.0,,,,,560.0,274.0,5.0
2月20日,省级,重庆,,7.0,25.0,1.0,,,,567.0,299.0,6.0
2月21日,省级,重庆,,5.0,17.0,,,,,572.0,316.0,6.0
2月22日,省级,重庆,,1.0,12.0,,,,,573.0,328.0,6.0
2月23日,省级,重庆,,2.0,7.0,,,,,575.0,335.0,6.0
2月24日,省级,重庆,,1.0,14.0,,,,,576.0,349.0,6.0
2月25日,省级,重庆,,,23.0,,,,,576.0,372.0,6.0
2月26日,省级,重庆,,,12.0,,,,,576.0,384.0,6.0
2月27日,省级,重庆,,,17.0,,,,,576.0,401.0,6.0
2月28日,省级,重庆,,,21.0,,,,,576.0,422.0,6.0
2月29日,省级,重庆,,,16.0,,,,,576.0,438.0,6.0
3月1日,省级,重庆,,,12.0,,,,,576.0,450.0,6.0
3月2日,省级,重庆,,,19.0,,,,,576.0,469.0,6.0
3月3日,省级,重庆,,,21.0,,,,,576.0,469.0,6.0
3月4日,省级,重庆,,,12.0,,,,,576.0,502.0,6.0
3月5日,省级,重庆,,,10.0,,,,,576.0,512.0,6.0
3月6日,省级,重庆,,,8.0,,,,,576.0,520.0,6.0
3月7日,省级,重庆,,,6.0,,,,,576.0,526.0,6.0
