公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,陕西,,,,,,,,,,
1月11日,省级,陕西,,,,,,,,,,
1月12日,省级,陕西,,,,,,,,,,
1月13日,省级,陕西,,,,,,,,,,
1月14日,省级,陕西,,,,,,,,,,
1月15日,省级,陕西,,,,,,,,,,
1月16日,省级,陕西,,,,,,,,,,
1月17日,省级,陕西,,,,,,,,,,
1月18日,省级,陕西,,,,,,,,,,
1月19日,省级,陕西,,,,,,,,,,
1月20日,省级,陕西,,,,,,,,,,
1月21日,省级,陕西,,,,,,,,,,
1月22日,省级,陕西,,3.0,,,,,,,,
1月23日,省级,陕西,,2.0,,,,,,,,
1月24日,省级,陕西,,10.0,,,,,,,,
1月25日,省级,陕西,,7.0,,,,,,,,
1月26日,省级,陕西,,13.0,,,,,,,,
1月27日,省级,陕西,,11.0,,,,,,,,
1月28日,省级,陕西,,10.0,,,,,,,,
1月29日,省级,陕西,,7.0,,,,,,,,
1月30日,省级,陕西,,24.0,,,,,,,,
1月31日,省级,陕西,,15.0,,,-1.0,,,,,
2月1日,省级,陕西,,15.0,,,,,,,,
2月2日,省级,陕西,,12.0,,,,,,,,
2月3日,省级,陕西,,14.0,1.0,,,,,,1.0,
2月4日,省级,陕西,,23.0,1.0,,,,,,2.0,
2月5日,省级,陕西,,8.0,4.0,,,,,,6.0,
2月6日,省级,陕西,,11.0,5.0,,,,,,11.0,
2月7日,省级,陕西,,11.0,6.0,,,,,,17.0,
2月8日,省级,陕西,,13.0,3.0,,,,,,20.0,
2月9日,省级,陕西,,5.0,6.0,,,,,,26.0,
2月10日,省级,陕西,,6.0,5.0,,,,,,31.0,
2月11日,省级,陕西,,6.0,5.0,,,,,,36.0,
2月12日,省级,陕西,,4.0,6.0,,,,,,42.0,
2月13日,省级,陕西,,1.0,7.0,,,,,,,
2月14日,省级,陕西,,2.0,4.0,,,,,,,
2月15日,省级,陕西,,4.0,11.0,,,,,,,
2月16日,省级,陕西,,4.0,10.0,,,,,240.0,74.0,
2月17日,省级,陕西,,,5.0,,,,,240.0,79.0,
2月18日,省级,陕西,,2.0,10.0,,,,,242.0,89.0,
2月19日,省级,陕西,,3.0,16.0,1.0,,,,245.0,105.0,1.0
2月20日,省级,陕西,,,12.0,,,,,245.0,117.0,1.0
2月21日,省级,陕西,,,23.0,,,,,245.0,140.0,1.0
2月22日,省级,陕西,,,13.0,,,,,245.0,153.0,1.0
2月23日,省级,陕西,,,9.0,,,,,245.0,162.0,1.0
2月24日,省级,陕西,,,13.0,,,,,245.0,175.0,1.0
2月25日,省级,陕西,,,11.0,,,,,245.0,186.0,1.0
2月26日,省级,陕西,,,8.0,,,,,245.0,194.0,1.0
2月27日,省级,陕西,,,3.0,,,,,245.0,197.0,1.0
2月28日,省级,陕西,,,3.0,,,,,245.0,200.0,1.0
2月29日,省级,陕西,,,7.0,,,,,245.0,207.0,1.0
3月1日,省级,陕西,,,2.0,,,,,245.0,209.0,1.0
3月2日,省级,陕西,,,7.0,,,,,245.0,216.0,1.0
3月3日,省级,陕西,,,2.0,,,,,245.0,218.0,1.0
3月4日,省级,陕西,,,4.0,,,,,245.0,222.0,1.0
3月5日,省级,陕西,,,2.0,,,,,245.0,224.0,1.0
3月6日,省级,陕西,,,2.0,,,,,245.0,226.0,1.0
3月7日,省级,陕西,,,,,,,,245.0,226.0,1.0
