公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,香港,,,,,,,,,,
1月11日,省级,香港,,,,,,,,,,
1月12日,省级,香港,,,,,,,,,,
1月13日,省级,香港,,,,,,,,,,
1月14日,省级,香港,,,,,,,,,,
1月15日,省级,香港,,,,,,,,,,
1月16日,省级,香港,,,,,,,,,,
1月17日,省级,香港,,,,,,,,,,
1月18日,省级,香港,,,,,,,,,,
1月19日,省级,香港,,,,,,,,,,
1月20日,省级,香港,,,,,,,,,,
1月21日,省级,香港,,,,,,,,,,
1月22日,省级,香港,,1.0,,,,,,,,
1月23日,省级,香港,,1.0,,,,,,,,
1月24日,省级,香港,,3.0,,,,,,,,
1月25日,省级,香港,,,,,,,,,,
1月26日,省级,香港,,3.0,,,,,,,,
1月27日,省级,香港,,,,,,,,,,
1月28日,省级,香港,,2.0,,,,,,,,
1月29日,省级,香港,,2.0,,,,,,,,
1月30日,省级,香港,,,,,,,,,,
1月31日,省级,香港,,1.0,,,,,,,,
2月1日,省级,香港,,1.0,,,,,,,,
2月2日,省级,香港,,1.0,,,,,,,1.0,
2月3日,省级,香港,,,,,,,,,1.0,
2月4日,省级,香港,,3.0,,1.0,,,,,1.0,1.0
2月5日,省级,香港,,3.0,,,,,,,1.0,1.0
2月6日,省级,香港,,3.0,,,,,,,1.0,1.0
2月7日,省级,香港,,2.0,,,,,,,1.0,1.0
2月8日,省级,香港,,,,,,,,,,
2月9日,省级,香港,,10.0,,,,,,,1.0,1.0
2月10日,省级,香港,,6.0,,,,,,,1.0,1.0
2月11日,省级,香港,,7.0,,,,,,,1.0,1.0
2月12日,省级,香港,,1.0,1.0,,,,,,2.0,1.0
2月13日,省级,香港,,3.0,,,,,,,,
2月14日,省级,香港,,3.0,,,,,,,,
2月15日,省级,香港,,,,,,,,,,
2月16日,省级,香港,,1.0,1.0,,,,,57.0,2.0,1.0
2月17日,省级,香港,,3.0,,,,,,60.0,2.0,1.0
2月18日,省级,香港,,2.0,2.0,,,,,62.0,4.0,1.0
2月19日,省级,香港,,3.0,1.0,1.0,,,,65.0,5.0,2.0
2月20日,省级,香港,,3.0,,,,,,68.0,5.0,2.0
2月21日,省级,香港,,,1.0,,,,,68.0,6.0,2.0
2月22日,省级,香港,,1.0,5.0,,,,,69.0,11.0,2.0
2月23日,省级,香港,,5.0,1.0,,,,,74.0,12.0,2.0
2月24日,省级,香港,,7.0,7.0,,,,,81.0,19.0,2.0
2月25日,省级,香港,,4.0,,,,-1.0,,85.0,18.0,2.0
2月26日,省级,香港,,6.0,6.0,,,,,91.0,24.0,2.0
2月27日,省级,香港,,2.0,2.0,,,,,93.0,26.0,2.0
2月28日,省级,香港,,1.0,4.0,,,,,94.0,30.0,2.0
2月29日,省级,香港,,1.0,3.0,,,,,95.0,33.0,2.0
3月1日,省级,香港,,3.0,3.0,,,,,98.0,36.0,2.0
3月2日,省级,香港,,2.0,,,,,,100.0,36.0,2.0
3月3日,省级,香港,,,1.0,,,,,100.0,37.0,2.0
3月4日,省级,香港,,4.0,6.0,,,,,104.0,43.0,2.0
3月5日,省级,香港,,,3.0,,,,,104.0,46.0,2.0
3月6日,省级,香港,,3.0,5.0,,,,,107.0,51.0,2.0
3月7日,省级,香港,,2.0,4.0,,,,,109.0,55.0,2.0
